id,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,street,neighbourhood,latitude,longitude,PropertyType,RoomType,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,has_availability
196010,,0,1,0,"Brooklyn, NY, United States",Manhattan,40.67595,-73.98053,Loft,Entire home/apt,2,1,1,1,Real Bed,265,2,40,5,1
203901,,0,1,1,"New York, NY, United States",Brooklyn,40.7694,-73.9572,Apartment,Entire home/apt,4,1,1,1,Real Bed,190,2,50,1,1
204833,,0,1,1,"Brooklyn, NY, United States",Manhattan,40.7093,-73.9497,Apartment,Private room,2,1,1,1,Real Bed,100,2,25,6,1
208148,,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.71973,-73.95582,Apartment,Entire home/apt,2,1,1,1,Real Bed,185,2,25,3,1
212544,,0,1,1,"Brooklyn, NY, United States",Manhattan,40.67688,-73.9859,Apartment,Entire home/apt,3,1.5,1,1,Real Bed,100,2,50,7,1
213272,1,0,1,0,"Brooklyn, NY, United States",Manhattan,40.70051,-73.92204,Treehouse,Private room,1,1,1,1,Real Bed,40,1,40,1,1
214917,1,0,1,0,"Staten Island, NY, United States",Brooklyn,40.60742,-74.14388,Bed and breakfast,Private room,2,1,1,1,Real Bed,80,1,0,2,1
217580,1,1,1,0,"Brooklyn, NY, United States",Brooklyn,40.61927,-74.0307,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,2,30,30,1
218358,1,0,1,1,"New York, NY, United States",Manhattan,40.8078,-73.95208,Apartment,Private room,1,1,1,1,Real Bed,80,1,0,7,1
219482,0.8,0,2,1,"Brooklyn, NY, United States",Manhattan,40.68275,-73.96148,Apartment,Entire home/apt,5,1,2,4,Real Bed,172,2,50,4,1
219818,1,0,4,0,"New York, NY, United States",Brooklyn,40.71892,-73.98401,Apartment,Entire home/apt,4,1,1,1,Real Bed,199,2,0,1,1
221043,,0,1,1,"New York, NY, United States",Manhattan,40.72956,-73.99287,Apartment,Private room,2,1,1,1,Real Bed,250,2,100,2,1
228496,1,0,1,1,"New York, NY, United States",Brooklyn,40.73507,-74.00048,Apartment,Entire home/apt,4,1,2,2,Real Bed,225,4,50,3,1
231414,1,0,1,1,"New York, NY, United States",Manhattan,40.72599,-74.00168,Apartment,Private room,3,1,1,2,Real Bed,270,1,0,5,1
233638,1,0,1,1,"New York, NY, United States",Brooklyn,40.70163,-73.90867,Apartment,Private room,2,1,1,2,Real Bed,55,1,25,1,1
236806,,0,1,1,"New York, NY, United States",Manhattan,40.72264,-73.9837,Apartment,Entire home/apt,4,1,2,2,Real Bed,160,2,30,4,1
237210,,0,1,0,"New York, NY, United States",Manhattan,40.73268,-73.99255,Loft,Entire home/apt,2,1,1,1,Real Bed,241,1,0,30,1
239055,,0,1,1,"New York, NY, United States",Manhattan,40.71892,-73.99628,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,2,50,7,1
239766,,0,1,1,"New York, NY, United States",Brooklyn,40.71693,-73.98948,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,1,0,5,1
239899,1,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.66068,-73.96003,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,1,0,21,1
241159,,0,1,0,"Brooklyn, NY, United States",Brooklyn,40.69221,-73.95866,Apartment,Entire home/apt,2,1,1,1,Real Bed,110,1,0,6,1
243229,1,0,1,0,"Brooklyn, NY, United States",Brooklyn,40.68016,-73.94878,Apartment,Entire home/apt,2,1,1,1,Futon,280,3,50,3,1
246134,1,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.67607,-73.94421,Apartment,Private room,2,1,1,1,Real Bed,85,1,10,3,1
246351,,0,1,1,"New York, NY, United States",Brooklyn,40.73834,-73.9823,Apartment,Entire home/apt,2,1,1,1,Real Bed,135,1,10,1,1
249414,,0,1,1,"New York, NY, United States",Brooklyn,40.73291,-74.00059,Apartment,Entire home/apt,2,1,1,1,Real Bed,246,1,0,4,1
249867,1,0,4,0,"Brooklyn, NY, United States",Queens,40.68707,-73.91918,House,Private room,1,1,1,1,Real Bed,100,1,35,1,1
250311,,0,1,0,"Brooklyn, NY, United States",Brooklyn,40.67495,-73.95563,Apartment,Private room,1,1,1,1,Real Bed,150,1,0,3,1
250536,0.83,0,2,1,"New York, NY, United States",Brooklyn,40.81068,-73.94288,Condominium,Private room,2,1,1,1,Real Bed,125,2,50,1,1
250537,0.83,0,2,1,"New York, NY, United States",Brooklyn,40.81122,-73.94279,Apartment,Entire home/apt,6,2,2,2,Real Bed,400,2,50,5,1
253548,1,0,0,0,"Brooklyn, NY, United States",Manhattan,40.58147,-73.96726,Apartment,Private room,3,1,1,1,Real Bed,69,1,25,1,1
253828,1,0,28,1,"Brooklyn, NY, United States",Brooklyn,40.73674,-73.95247,Boutique hotel,Private room,4,1,1,2,Real Bed,349,2,0,3,1
253839,1,0,28,1,"Brooklyn, NY, United States",Brooklyn,40.73783,-73.95259,Boutique hotel,Private room,4,1,1,2,Real Bed,249,2,0,3,1
253842,1,0,28,1,"Brooklyn, NY, United States",Manhattan,40.73714,-73.95296,Boutique hotel,Private room,4,1,1,2,Real Bed,299,2,0,3,1
253846,1,0,28,1,"Brooklyn, NY, United States",Brooklyn,40.73731,-73.9545,Boutique hotel,Private room,2,1,1,1,Real Bed,179,2,0,3,1
258686,,0,1,0,"Jamaica, NY, United States",Brooklyn,40.70554,-73.76637,House,Private room,2,1,1,1,Real Bed,75,1,40,4,1
258876,1,0,4,1,"Staten Island, NY, United States",Brooklyn,40.59101,-74.06685,Apartment,Private room,2,1.5,1,1,Real Bed,50,1,25,7,1
259946,1,0,4,1,"Staten Island, NY, United States",Manhattan,40.59262,-74.06659,Apartment,Entire home/apt,6,1,1,3,Real Bed,125,2,25,2,1
260451,1,0,2,1,"Brooklyn, NY, United States",Manhattan,40.69142,-73.97203,Apartment,Entire home/apt,2,1,1,1,Real Bed,70,1,20,7,1
261194,0.8,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.68338,-73.95289,Apartment,Entire home/apt,6,2,2,2,Real Bed,130,3,15,3,1
261674,,0,1,1,"New York, NY, United States",Manhattan,40.74025,-74.00161,Apartment,Private room,2,1,1,1,Real Bed,95,1,20,5,1
261781,,0,1,1,"New York, NY, United States",Brooklyn,40.73378,-74.00429,Apartment,Entire home/apt,4,2,2,2,Real Bed,375,1,0,7,1
